"Id";"Region";"ActivityHour";"StepTotal";"Calories";"TotalIntensity";"AverageIntensity"
2320127002;"North";"2016-05-05 06:00:00";383;90;18;0
2320127002;"North";"2016-05-05 07:00:00";687;115;31;1
2320127002;"North";"2016-05-05 08:00:00";604;105;26;0
2320127002;"North";"2016-05-05 09:00:00";782;109;34;1
2320127002;"North";"2016-05-05 10:00:00";601;108;27;0
2320127002;"North";"2016-05-05 11:00:00";427;97;23;0
2320127002;"North";"2016-05-05 12:00:00";456;93;18;0
2320127002;"North";"2016-05-05 13:00:00";98;68;8;0
2320127002;"North";"2016-05-05 14:00:00";0;55;0;0
2320127002;"North";"2016-05-05 15:00:00";0;55;0;0
2320127002;"North";"2016-05-05 16:00:00";0;55;0;0
2320127002;"North";"2016-05-05 17:00:00";68;62;4;0
2320127002;"North";"2016-05-05 18:00:00";111;68;6;0
2320127002;"North";"2016-05-05 19:00:00";441;94;20;0
2320127002;"North";"2016-05-05 20:00:00";267;83;15;0
2320127002;"North";"2016-05-05 21:00:00";219;75;11;0
2320127002;"North";"2016-05-05 22:00:00";58;62;4;0
2320127002;"North";"2016-05-05 23:00:00";0;55;0;0
2873212765;"North";"2016-05-05 00:00:00";0;52;0;0
2873212765;"North";"2016-05-05 01:00:00";0;52;0;0
2873212765;"North";"2016-05-05 02:00:00";0;52;0;0
2873212765;"North";"2016-05-05 03:00:00";0;52;0;0
2873212765;"North";"2016-05-05 04:00:00";0;52;0;0
2873212765;"North";"2016-05-05 05:00:00";0;52;0;0
2873212765;"North";"2016-05-05 06:00:00";135;73;14;0
2873212765;"North";"2016-05-05 07:00:00";1227;140;41;1
2873212765;"North";"2016-05-05 08:00:00";253;110;40;1
2873212765;"North";"2016-05-05 09:00:00";1252;140;53;1
2873212765;"North";"2016-05-05 10:00:00";1758;183;56;1
2873212765;"North";"2016-05-05 11:00:00";331;79;9;0
2873212765;"North";"2016-05-05 12:00:00";211;84;20;0
2873212765;"North";"2016-05-05 13:00:00";369;98;27;0
2873212765;"North";"2016-05-05 14:00:00";451;87;20;0
2873212765;"North";"2016-05-05 15:00:00";1107;126;46;1
2873212765;"North";"2016-05-05 16:00:00";616;102;28;0
2873212765;"North";"2016-05-05 17:00:00";61;58;3;0
2873212765;"North";"2016-05-05 18:00:00";223;69;8;0
2873212765;"North";"2016-05-05 19:00:00";142;75;16;0
2873212765;"North";"2016-05-05 20:00:00";0;54;1;0
2873212765;"North";"2016-05-05 21:00:00";178;73;14;0
2873212765;"North";"2016-05-05 22:00:00";0;52;0;0
2873212765;"North";"2016-05-05 23:00:00";0;52;0;0
3977333714;"West";"2016-05-05 00:00:00";593;74;19;0
3977333714;"West";"2016-05-05 01:00:00";0;42;0;0
3977333714;"West";"2016-05-05 02:00:00";0;42;0;0
3977333714;"West";"2016-05-05 03:00:00";16;44;2;0
3977333714;"West";"2016-05-05 04:00:00";0;42;0;0
3977333714;"West";"2016-05-05 05:00:00";0;42;0;0
3977333714;"West";"2016-05-05 06:00:00";0;43;0;0
3977333714;"West";"2016-05-05 07:00:00";17;44;2;0
3977333714;"West";"2016-05-05 08:00:00";7;44;1;0
3977333714;"West";"2016-05-05 09:00:00";267;61;13;0
3977333714;"West";"2016-05-05 10:00:00";485;69;17;0
3977333714;"West";"2016-05-05 11:00:00";618;75;18;0
3977333714;"West";"2016-05-05 12:00:00";234;61;12;0
3977333714;"West";"2016-05-05 13:00:00";325;68;18;0
3977333714;"West";"2016-05-05 14:00:00";214;56;9;0
3977333714;"West";"2016-05-05 15:00:00";89;48;4;0
3977333714;"West";"2016-05-05 16:00:00";381;69;17;0
3977333714;"West";"2016-05-05 17:00:00";34;45;2;0
3977333714;"West";"2016-05-05 18:00:00";232;55;7;0
3977333714;"West";"2016-05-05 19:00:00";20;44;1;0
3977333714;"West";"2016-05-05 20:00:00";277;60;12;0
3977333714;"West";"2016-05-05 21:00:00";2470;148;75;1
3977333714;"West";"2016-05-05 22:00:00";3792;194;113;2
3977333714;"West";"2016-05-05 23:00:00";2241;147;54;1
4020332650;"East";"2016-05-05 00:00:00";62;109;7;0
